date,RRI
2018-08-30,0.36328880391512053
2018-08-31,0.05031274980607847
2018-09-01,1.9900033785457838
2018-09-02,0.5716679879136533
2018-09-03,7.5622418301831225
2018-09-04,0.022859915191475455
2018-09-05,-0.6030096504851867
2018-09-06,-0.7134956386186309
2018-09-07,0.5529822644486126
2018-09-08,2.098702471559858
2018-09-09,3.2820007719405475
2018-09-10,0.789216654207795
2018-09-11,0.7138391261823285
2018-09-12,-0.07584456558596075
2018-09-13,1.0262001739868465
2018-09-14,0.6494335723343381
2018-09-15,1.8629326078391983
2018-09-16,3.01816306730076
2018-09-17,0.7713553008956198
2018-09-18,0.8511163844958702
2018-09-19,0.6819871392304488
2018-09-20,0.06066644636890661
2018-09-21,0.7765043430409235
2018-09-22,2.072165603781775
2018-09-23,3.171770705785436
